ConjuntoDados,TamanhoTabela,FuncaoHash,Tempo(ms),Colisoes
dados_1M.txt,1000,RestoDivisao,64,999000
dados_1M.txt,1000,Multiplicacao,66,999000
dados_1M.txt,1000,Dobramento,145,999000
dados_1M.txt,10000,RestoDivisao,34,990000
dados_1M.txt,10000,Multiplicacao,38,990000
dados_1M.txt,10000,Dobramento,66,997084
dados_1M.txt,100000,RestoDivisao,74,900006
dados_1M.txt,100000,Multiplicacao,84,900007
dados_1M.txt,100000,Dobramento,72,997084
dados_5M.txt,1000,RestoDivisao,192,4999000
dados_5M.txt,1000,Multiplicacao,167,4999000
dados_5M.txt,1000,Dobramento,481,4999000
dados_5M.txt,10000,RestoDivisao,185,4990000
dados_5M.txt,10000,Multiplicacao,185,4990000
dados_5M.txt,10000,Dobramento,585,4997037
dados_5M.txt,100000,RestoDivisao,364,4900000
dados_5M.txt,100000,Multiplicacao,385,4900000
dados_5M.txt,100000,Dobramento,474,4997037
dados_20M.txt,1000,RestoDivisao,577,19999000
dados_20M.txt,1000,Multiplicacao,759,19999000
dados_20M.txt,1000,Dobramento,1857,19999000
dados_20M.txt,10000,RestoDivisao,2573,19990000
dados_20M.txt,10000,Multiplicacao,1899,19990000
dados_20M.txt,10000,Dobramento,2870,19997017
dados_20M.txt,100000,RestoDivisao,5191,19900000
dados_20M.txt,100000,Multiplicacao,4474,19900000
dados_20M.txt,100000,Dobramento,2818,19997017
